,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0,1.184454321861267,0.5288194417953491,0.6614553332328796,1.3602815866470337,0.5881533026695251,0.7184758186340332,0.0010000000474974513
1,1.0671294927597046,0.5737847089767456,0.7174879908561707,1.052765965461731,0.5742160081863403,0.7550644874572754,0.0010000000474974513
2,1.018201231956482,0.5907986164093018,0.7431744933128357,0.9694464802742004,0.6222996115684509,0.7770839333534241,0.0010000000474974513
3,0.994403600692749,0.6003472208976746,0.7571890354156494,0.9313670992851257,0.6306620240211487,0.7865365147590637,0.0010000000474974513
4,0.9799394607543945,0.612500011920929,0.7588839530944824,0.983881413936615,0.6195122003555298,0.7840403318405151,0.0010000000474974513
5,0.9707870483398438,0.6090278029441833,0.7675297856330872,0.9764705300331116,0.6181184649467468,0.7803076505661011,0.0010000000474974513
6,0.9765676259994507,0.6102430820465088,0.7676216959953308,1.076776385307312,0.5756097435951233,0.7738207578659058,0.0010000000474974513
7,0.9470589756965637,0.6154513955116272,0.7783240079879761,0.878896951675415,0.6459929943084717,0.8210433721542358,0.00010000000474974513
8,0.8961218595504761,0.6394097208976746,0.8069145083427429,0.868714451789856,0.6439024209976196,0.8255249857902527,0.00010000000474974513
9,0.8851841688156128,0.6463541984558105,0.8113340735435486,0.858620285987854,0.6487804651260376,0.8300803303718567,0.00010000000474974513
10,0.8556315898895264,0.655381977558136,0.8222194910049438,0.8556947708129883,0.6543554067611694,0.8306994438171387,0.00010000000474974513
11,0.8423616290092468,0.6581597328186035,0.8264957666397095,0.8559105396270752,0.6536585092544556,0.8285319805145264,0.00010000000474974513
12,0.8385630249977112,0.6656250357627869,0.8289681673049927,0.8606690764427185,0.6550522446632385,0.8245832324028015,0.00010000000474974513
13,0.8349061012268066,0.6659722328186035,0.8348664045333862,0.8556212782859802,0.6557491421699524,0.827938973903656,0.00010000000474974513
14,0.8068892955780029,0.6729167103767395,0.8469142913818359,0.8575633764266968,0.6452961564064026,0.8304027318954468,1.0000000656873453e-05
15,0.8155691623687744,0.6699652671813965,0.8421388864517212,0.8545966148376465,0.6480836272239685,0.8309984803199768,1.0000000656873453e-05
16,0.8015705943107605,0.6798611283302307,0.8484978675842285,0.855315089225769,0.6473867297172546,0.832557201385498,1.0000000656873453e-05
17,0.7911038994789124,0.6824653148651123,0.8507688641548157,0.8562195301055908,0.6515679359436035,0.8337779641151428,1.0000000656873453e-05
18,0.8047468662261963,0.6776041984558105,0.849859893321991,0.8572239279747009,0.6480836272239685,0.8327950239181519,1.0000000656873453e-05
19,0.7943580150604248,0.6793403029441833,0.8508702516555786,0.859194278717041,0.6508710384368896,0.833127498626709,1.0000001111620804e-06
